female_family	male_family	male_rep_number	male_family_number	male_plant_number	date	number_of_GFP_kernels	number_of_WT_kernels	AC_present_in_parent	exclude_from_final_dataset	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	genetic_background	marker	not_HVY	allele	v3_gene	v4_gene
401	437-3	m1	437	3	8/22	185	209	0	FALSE	sperm_cell_high	12	32	27	1	1	0	R31B01	GRMZM2G160069	Zm00001d025834
402	441-2	m1	441	2	8/15	280	261	0	FALSE	sperm_cell_high	18	43	24	1	1	1	R35A03	GRMZM2G172726	Zm00001d021974
402	441-2	m2	441	2	8/17	241	226	0	FALSE	sperm_cell_high	18	43	24	1	1	1	R35A03	GRMZM2G172726	Zm00001d021974
402	441-2	m3	441	2	8/16	286	259	0	FALSE	sperm_cell_high	18	43	24	1	1	0	R35A03	GRMZM2G172726	Zm00001d021974
403	441-3	m1	441	3	8/18	171	190	0	FALSE	sperm_cell_high	18	43	24	1	1	0	R35A03	GRMZM2G172726	Zm00001d021974
402	451A-1	m1	451	1	8/28	219	191	0	FALSE	sperm_cell_high	11	33	29	1	1	0	R53C03	GRMZM2G038252	Zm00001d043076
402	451A-4	m1	451	4	8/24	205	207	0	FALSE	sperm_cell_high	11	33	29	1	1	1	R53C03	GRMZM2G038252	Zm00001d043076
402	451A-4	m2	451	4	8/25	245	226	0	FALSE	sperm_cell_high	11	33	29	1	1	0	R53C03	GRMZM2G038252	Zm00001d043076
402	451A-5	m1	451	5	8/24	186	174	0	FALSE	sperm_cell_high	11	33	29	1	1	0	R53C03	GRMZM2G038252	Zm00001d043076
402	451A-5	m2	451	5	8/25	249	263	0	FALSE	sperm_cell_high	11	33	29	1	1	0	R53C03	GRMZM2G038252	Zm00001d043076
402	454-3	m1	454	3	8/15	162	163	0	FALSE	sperm_cell_high	13	37	4	1	1	0	R60D10	GRMZM2G365613	Zm00001d006218
402	454-3	m2	454	3	8/13	277	283	0	FALSE	sperm_cell_high	13	37	4	1	1	0	R60D10	GRMZM2G365613	Zm00001d006218
402	454-3	m3	454	3	8/17	318	292	0	FALSE	sperm_cell_high	13	37	4	1	1	0	R60D10	GRMZM2G365613	Zm00001d006218
403	454-3	m4	454	3	8/16	235	217	0	FALSE	sperm_cell_high	13	37	4	1	1	0	R60D10	GRMZM2G365613	Zm00001d006218
400	454L-1	m1	454	1	-	93	68	0	FALSE	sperm_cell_high	13	37	4	1	1	0	R60D10	GRMZM2G365613	Zm00001d006218
403	474-1	m1	474	1	8/15	94	98	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
402	474-2	m1	474	2	8/24	178	197	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
401	474-2	m2	474	2	8/23	156	180	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
402	474-4	m1	474	4	8/18	257	226	0	FALSE	sperm_cell_high	8	35	17	1	1	1	R87A03	GRMZM2G100318	Zm00001d012128
401	474-4	m2	474	4	8/20	275	250	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
402	474-4	m3	474	4	8/18	261	255	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
402	474-4	m4	474	4	8/19	141	162	0	FALSE	sperm_cell_high	8	35	17	1	1	0	R87A03	GRMZM2G100318	Zm00001d012128
402	474-4	m5	474	4	8/17	178	170	0	FALSE	sperm_cell_high	8	35	17	1	1	1	R87A03	GRMZM2G100318	Zm00001d012128
401	491-1	m1	491	1	8/22	103	228	1	FALSE	sperm_cell_high	16	47	1	2	1	0	R82A03	GRMZM2G036832	Zm00001d005781
401	491L-2	m1	491	2	8/27	129	248	1	FALSE	sperm_cell_high	16	47	1	2	1	0	R82A03	GRMZM2G036832	Zm00001d005781
401	491-5	m1	491	5	8/20	119	223	1	FALSE	sperm_cell_high	16	47	1	2	1	0	R82A03	GRMZM2G036832	Zm00001d005781
402	492-1	m1	492	1	8/13	105	264	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
402	492-1	m2	492	1	8/15	58	279	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
402	492-1	m3	492	1	8/17	55	285	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
403	492-1	m4	492	1	8/18	81	229	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
401	492-2	m1	492	2	8/20	69	232	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
401	492-3	m1	492	3	8/13	82	206	0	FALSE	sperm_cell_high	16	47	1	2	1	0	R84A12	GRMZM2G036832	Zm00001d005781
402	494-1	m1	494	1	8/20	138	129	0	FALSE	sperm_cell_high	15	44	10	2	1	0	R91F11	GRMZM2G114899	Zm00001d034788
402	494-1	m2	494	1	8/17	312	272	0	FALSE	sperm_cell_high	15	44	10	2	1	0	R91F11	GRMZM2G114899	Zm00001d034788
403	494-1	m3	494	1	8/18	195	221	0	FALSE	sperm_cell_high	15	44	10	2	1	0	R91F11	GRMZM2G114899	Zm00001d034788
402	494-2	m1	494	2	8/15	249	254	0	FALSE	sperm_cell_high	15	44	10	2	1	0	R91F11	GRMZM2G114899	Zm00001d034788
401	494-4	m1	494	4	8/22	147	197	0	FALSE	sperm_cell_high	15	44	10	2	1	0	R91F11	GRMZM2G114899	Zm00001d034788
401	415-1	m1	415	1	8/27	154	172	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
403	415-3	m1	415	3	8/18	159	162	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
403	415-4	m1	415	4	8/20	203	197	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
402	415-4	m2	415	4	8/22	198	223	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
402	415-4	m3	415	4	8/23	146	144	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
400	415L-1	m1	415	1	8/31	148	177	0	FALSE	vegetative_cell_high	38	23	52	1	1	0	R01G01	GRMZM2G124434	Zm00001d032950
401	417-2	m1	417	2	8/20	114	123	0	FALSE	vegetative_cell_high	26	22	39	1	1	0	R02D02	GRMZM2G006894	Zm00001d026490
402	417-2	m2	417	2	8/19	139	147	0	FALSE	vegetative_cell_high	26	22	39	1	1	0	R02D02	GRMZM2G006894	Zm00001d026490
402	417-2	m3	417	2	8/22	99	97	0	FALSE	vegetative_cell_high	26	22	39	1	1	0	R02D02	GRMZM2G006894	Zm00001d026490
400	417-3	m1	417	3	8/27	163	157	0	FALSE	vegetative_cell_high	26	22	39	1	1	0	R02D02	GRMZM2G006894	Zm00001d026490
